,Total Plays,Total Yards,Average Yards,Median Yards
Dallas Cowboys,1497,17225,11.5063460253841,4
Indianapolis Colts,1390,16811,12.094244604316547,4
Cleveland Browns,1498,16719,11.160881174899867,3
Carolina Panthers,1371,16704,12.183807439824946,4
Las Vegas Raiders,1425,16628,11.668771929824562,4
Tennessee Titans,1413,16484,11.665958952583157,4
Seattle Seahawks,1420,16389,11.541549295774647,4
Atlanta Falcons,1448,16338,11.283149171270718,5
San Francisco 49ers,1385,16184,11.68519855595668,4
Houston Texans,1435,16119,11.232752613240418,3
Baltimore Ravens,1428,16084,11.263305322128852,4
Jacksonville Jaguars,1328,16039,12.077560240963855,4
Washington Commanders,1473,15957,10.832993890020367,4
Tampa Bay Buccaneers,1449,15949,11.006901311249138,5
Cincinnati Bengals,1484,15937,10.73921832884097,4
New Orleans Saints,1401,15918,11.36188436830835,4
Arizona Cardinals,1399,15860,11.336669049320944,5
New England Patriots,1396,15816,11.329512893982807,4
New York Giants,1418,15728,11.091678420310297,4
Los Angeles Rams,1396,15470,11.081661891117479,4
Detroit Lions,1453,15470,10.64693737095664,4
New York Jets,1360,15425,11.341911764705882,4
Chicago Bears,1451,15425,10.630599586492075,3
Miami Dolphins,1448,15311,10.57389502762431,4
Los Angeles Chargers,1379,15229,11.043509789702684,4
Green Bay Packers,1403,15225,10.851746258018531,4
Denver Broncos,1418,15111,10.656558533145276,4
Minnesota Vikings,1445,15044,10.411072664359862,4
Kansas City Chiefs,1459,14848,10.176833447566827,4
Pittsburgh Steelers,1398,14768,10.563662374821174,4
Buffalo Bills,1411,14733,10.441530829199149,4
Philadelphia Eagles,1398,14212,10.165951359084406,3
